Phrase,Sujet,Verbe,Objet,type_deplacement,chapitre
"Quelle fut donc sa joie quand, ce matin même, il le vit descendre du wagon, en compagnie, il est vrai, d’ une jeune femme dont il ne pouvait s’ expliquer la présence.",il,descendre,en compagnie,Dpt au sens large,15
"Phileas Fogg retenu huit jours à Calcutta, c’ était plus qu’ il n’ en fallait pour donner au mandat le temps de lui arriver.",,arriver,lui,Dpt au sens large,15
Fix espérait encore que son voleur ne se déciderait jamais à abandonner cette somme de deux mille livres et qu’ il ferait ses huit jours de prison.,son voleur,abandonner,cette somme de deux mille livres,Dpt au sens large,15
Fix le vit descendre de voiture et s’ embarquer dans un canot avec Mrs.,Fix,descendre,de voiture,Dpt au sens large,15
Fix le vit descendre de voiture et s’ embarquer dans un canot avec Mrs.,Fix,embarquer,s’,Dpt au sens large,15
Fix le vit descendre de voiture et s’ embarquer dans un canot avec Mrs.,Fix,embarquer,dans un canot,Dpt au sens large,15
Fix le vit descendre de voiture et s’ embarquer dans un canot avec Mrs.,Fix,embarquer,avec Mrs,Dpt au sens large,15
"C’ était même un cousin de Sir Jejeebhoy, l’ honorable Jejeeh, qu’ elle comptait rejoindre à Hong - Kong.",elle,rejoindre,à Hong,Dpt au sens large,16
"C’ était même un cousin de Sir Jejeebhoy, l’ honorable Jejeeh, qu’ elle comptait rejoindre à Hong - Kong.",elle,rejoindre,-,Dpt au sens large,16
"C’ était même un cousin de Sir Jejeebhoy, l’ honorable Jejeeh, qu’ elle comptait rejoindre à Hong - Kong.",elle,rejoindre,Kong,Dpt au sens large,16
"Mais l’ intraitable Fogg, aussi boutonné que jamais, ne semblait point homme à se jeter dans ce lac.",l’ intraitable Fogg,jeter,se,Dpt au sens large,16
"Mais l’ intraitable Fogg, aussi boutonné que jamais, ne semblait point homme à se jeter dans ce lac.",l’ intraitable Fogg,jeter,dans ce lac,Dpt au sens large,16
"Au départ de Calcutta, après avoir laissé des instructions pour que le mandat, s’ il arrivait enfin, lui fût adressé à Hong - Kong, il avait pu s’ embarquer à bord du Rangoon sans avoir été aperçu de Passepartout, et il espérait bien dissimuler sa présence jusqu’ à l’ arrivée du paquebot.",il,embarquer,s’,Dpt au sens large,16
"Au départ de Calcutta, après avoir laissé des instructions pour que le mandat, s’ il arrivait enfin, lui fût adressé à Hong - Kong, il avait pu s’ embarquer à bord du Rangoon sans avoir été aperçu de Passepartout, et il espérait bien dissimuler sa présence jusqu’ à l’ arrivée du paquebot.",il,embarquer,à bord du Rangoon,Dpt au sens large,16
"De là retards, lenteurs, obstacles de toute nature, dont le coquin profiterait pour échapper définitivement.",le coquin,échapper,,Dpt au sens large,16
"Ce voyage à travers l’ Inde, au contraire, n’ avait -il pas été entrepris par ce gentleman dans le but de rejoindre cette charmante personne  ? car elle était charmante  !",,rejoindre,cette charmante personne,Dpt au sens large,16
"Ce Fogg avait la détestable habitude de sauter d’ un bateau dans un autre, et, avant que l’ affaire fût entamée, il pouvait être déjà loin.",,sauter,d’ un bateau,Dynamicité spatiale sans dpt,16
"Ce Fogg avait la détestable habitude de sauter d’ un bateau dans un autre, et, avant que l’ affaire fût entamée, il pouvait être déjà loin.",,sauter,dans un autre,Dynamicité spatiale sans dpt,16
"Donc, ce jour -là, Fix, sortant de sa cabine, monta sur le pont, dans l’ intention d’ aborder Passepartout«   le premier  » avec les marques de la plus extrême surprise.",,aborder,Passepartout,Dynamicité spatiale sans dpt,16
"Fix, qui connaissait la dernière partie de ces incidents, semblait les ignorer tous, et Passepartout se laissait aller au charme de narrer ses aventures devant un auditeur qui lui marquait tant d’ intérêt.",Passepartout,aller,au charme,Dpt au sens large,16
"Phileas Fogg avait intérêt à les franchir en six jours au plus, afin de prendre à Hong - Kong le bateau qui devait partir le 6 novembre pour Yokohama, l’ un des principaux ports du Japon.",Phileas Fogg,franchir,les,Dpt au sens large,17
"Phileas Fogg avait intérêt à les franchir en six jours au plus, afin de prendre à Hong - Kong le bateau qui devait partir le 6 novembre pour Yokohama, l’ un des principaux ports du Japon.",Phileas Fogg,franchir,en six jours,Dpt au sens large,17
"Ces navires sont donc très inférieurs– sinon par le moteur et l’ appareil évaporatoire, du moins par la construction,–   aux types des Messageries françaises, tels que l’ Impératrice et le Cambodge. Tandis que, suivant les calculs des ingénieurs, ceux - ci peuvent embarquer un poids d’ eau égal à leur propre poids avant de sombrer, les bateaux de la Compagnie péninsulaire, le Golgonda, le Corea, et enfin le Rangoon, ne pourraient pas embarquer le sixième de leur poids sans couler par le fond.",ceux,embarquer,un poids d’ eau égal à leur propre poids,Dpt au sens large,17
"Ces navires sont donc très inférieurs– sinon par le moteur et l’ appareil évaporatoire, du moins par la construction,–   aux types des Messageries françaises, tels que l’ Impératrice et le Cambodge. Tandis que, suivant les calculs des ingénieurs, ceux - ci peuvent embarquer un poids d’ eau égal à leur propre poids avant de sombrer, les bateaux de la Compagnie péninsulaire, le Golgonda, le Corea, et enfin le Rangoon, ne pourraient pas embarquer le sixième de leur poids sans couler par le fond.",,sombrer,,Dpt au sens large,17
"Ces navires sont donc très inférieurs– sinon par le moteur et l’ appareil évaporatoire, du moins par la construction,–   aux types des Messageries françaises, tels que l’ Impératrice et le Cambodge. Tandis que, suivant les calculs des ingénieurs, ceux - ci peuvent embarquer un poids d’ eau égal à leur propre poids avant de sombrer, les bateaux de la Compagnie péninsulaire, le Golgonda, le Corea, et enfin le Rangoon, ne pourraient pas embarquer le sixième de leur poids sans couler par le fond.",les bateaux de la Compagnie péninsulaire le Golgonda le Corea et enfin le Rangoon,embarquer,le sixième de leur poids,Dpt au sens large,17
Peut - être aussi la pensée de ce bec de gaz qui continuait de brûler à son compte dans la maison de Saville - row entrait -elle pour beaucoup dans son impatience.,qui,brûler,à son compte,Dpt au sens large,17
Peut - être aussi la pensée de ce bec de gaz qui continuait de brûler à son compte dans la maison de Saville - row entrait -elle pour beaucoup dans son impatience.,qui,brûler,dans la maison de Saville - row,Dpt au sens large,17
«  Mais vous êtes donc bien pressé d’ arriver à Hong - Kong  ? lui demanda un jour le détective.,vous,arriver,à Hong,Dpt au sens large,17
«  Mais vous êtes donc bien pressé d’ arriver à Hong - Kong  ? lui demanda un jour le détective.,vous,arriver,-,Dpt au sens large,17
«  Mais vous êtes donc bien pressé d’ arriver à Hong - Kong  ? lui demanda un jour le détective.,vous,arriver,Kong,Dpt au sens large,17
"Mais sa qualité de détective, dont seul il avait le secret, comment Passepartout aurait -il pu la reconnaître  ?",sa qualité de détective,reconnaître,la,Dynamicité spatiale sans dpt,17
"S’ il ne se trouvait pas dans les conditions voulues pour arrêter Fogg à Hong - Kong, et si Fogg se préparait à quitter définitivement cette fois le territoire anglais, lui, Fix, dirait tout à Passepartout.",Fogg,quitter,cette fois,Dpt au sens large,17
"S’ il ne se trouvait pas dans les conditions voulues pour arrêter Fogg à Hong - Kong, et si Fogg se préparait à quitter définitivement cette fois le territoire anglais, lui, Fix, dirait tout à Passepartout.",Fogg,quitter,le territoire anglais,Dpt au sens large,17
"Ou le domestique était le complice de son maître– et celui-ci savait tout, et dans ce cas l’ affaire était définitivement compromise– ou le domestique n’ était pour rien dans le vol, et alors son intérêt serait d’ abandonner le voleur.",son intérêt,abandonner,le voleur,Dpt au sens large,17
"Quant aux préoccupations que les chances de ce voyage pouvaient faire naître en lui, il n’ y en avait pas trace.",les chances de ce voyage,naître,en lui,Dpt au sens large,17
"Sa satisfaction aurait même été sans bornes, si le Rangoon eût été obligé de fuir devant la tourmente.",le Rangoon,fuir,devant la tourmente,Dpt au sens large,18
"Passepartout, comme si les vingt mille livres du pari eussent dû sortir de sa bourse, ne vivait plus.",Passepartout,sortir,de sa bourse,Dpt au sens large,18
"On le renvoyait alors au baromètre, qui ne se décidait pas à remonter.",qui,remonter,,Dpt au sens large,18
Mais on ne pouvait regagner tout le temps perdu.,on,regagner,tout le temps,Dpt au sens large,18
"Évidemment il y aurait vingt-quatre heures de retard à Yokohama, mais, pendant les vingt-deux jours que dure la traversée du Pacifique, il serait facile de les regagner.",,regagner,les,Dpt au sens large,18
Revenir en Europe.,,Revenir,en Europe,Dpt au sens large,18
"Des docks, des hôpitaux, des wharfs, des entrepôts, une cathédrale gothique, un«   government - house  », des rues macadamisées, tout ferait croire qu’ une des cités commerçantes des comtés de Kent ou de Surrey, traversant le sphéroïde terrestre, est venue ressortir en ce point de la Chine, presque à ses antipodes.",une des cités commerçantes des comtés de Kent ou de Surrey,ressortir,en ce point de la Chine,Dpt au sens large,19
"Des docks, des hôpitaux, des wharfs, des entrepôts, une cathédrale gothique, un«   government - house  », des rues macadamisées, tout ferait croire qu’ une des cités commerçantes des comtés de Kent ou de Surrey, traversant le sphéroïde terrestre, est venue ressortir en ce point de la Chine, presque à ses antipodes.",une des cités commerçantes des comtés de Kent ou de Surrey,ressortir,presque à ses antipodes,Dpt au sens large,19
"Étant entré chez un barbier chinois pour se faire raser«   à la chinoise  », il apprit par le Figaro de l’ endroit, qui parlait un assez bon anglais, que ces vieillards avaient tous quatre-vingts ans au moins, et qu’ à cet âge ils avaient le privilège de porter la couleur jaune, qui est la couleur impériale.",,raser,se,Dynamicité spatiale sans dpt,19
"Il était évident que le mandat courait après lui, et ne pourrait l’ atteindre que s’ il séjournait quelques jours en cette ville.",,atteindre,l’,Dpt au sens large,19
"Or, Hong - Kong étant la dernière terre anglaise du parcours, le sieur Fogg allait lui échapper définitivement, s’ il ne parvenait pas à l’ y retenir.",le sieur Fogg,échapper,lui,Dpt au sens large,19
"«  Eh bien, monsieur Fix, êtes -vous décidé à venir avec nous jusqu’ en Amérique  ? demanda Passepartout.",,venir,avec nous,Dpt au sens large,19
"«  Eh bien, monsieur Fix, êtes -vous décidé à venir avec nous jusqu’ en Amérique  ? demanda Passepartout.",,venir,jusqu’ en Amérique,Dpt au sens large,19
"Hommes et femmes s’ adonnent à cette passion déplorable, et lorsqu’ ils sont accoutumés à cette inhalation, ils ne peuvent plus s’ en passer, à moins d’ éprouver d’ horribles contractions de l’ estomac.",ils,passer,s’,Dpt au sens large,19
"Hommes et femmes s’ adonnent à cette passion déplorable, et lorsqu’ ils sont accoutumés à cette inhalation, ils ne peuvent plus s’ en passer, à moins d’ éprouver d’ horribles contractions de l’ estomac.",ils,passer,en,Dpt au sens large,19
"Et à propos de ce steamer, dont le départ se trouvait avancé de quelques heures, Passepartout, les bouteilles étant vides, se leva, afin d’ aller prévenir son maître.",,aller,,Dpt au sens large,19
"Comment  ! non content de faire suivre mon maître, de suspecter sa loyauté, ces gentlemen veulent encore lui susciter des obstacles  !",,suivre,mon maître,Dpt au sens large,19
–   Eh  ! c’ est bien à cela que nous comptons arriver  !,nous,arriver,,Dpt au sens large,19
"Sachez, monsieur Fix, que mon maître est un honnête homme, et que, quand il a fait un pari, c’ est loyalement qu’ il prétend le gagner.",il,gagner,le,Dpt au sens large,19
"–   Jamais  !  » répondit Passepartout, qui voulut se lever et retomba, sentant sa raison et ses forces lui échapper à la fois.",,échapper,lui,Dpt au sens large,19
"–   Jamais  !  » répondit Passepartout, qui voulut se lever et retomba, sentant sa raison et ses forces lui échapper à la fois.",,échapper,à la fois,Dpt au sens large,19
Passepartout se sentait de plus en plus envahir par l’ ivresse.,Passepartout,envahir,par l’ ivresse,Dynamicité spatiale sans dpt,19
"S’ il avait été homme à s’ étonner de quelque chose, c’ eût été de ne point voir apparaître son domestique à l’ heure du coucher.",,apparaître,à l’ heure du coucher,Dpt au sens large,20
"Mais, sachant que le paquebot de Yokohama ne devait pas quitter Hong - Kong avant le lendemain matin, il ne s’ en préoccupa pas autrement.",le paquebot de Yokohama,quitter,Hong,Dpt au sens large,20
"Mais, sachant que le paquebot de Yokohama ne devait pas quitter Hong - Kong avant le lendemain matin, il ne s’ en préoccupa pas autrement.",le paquebot de Yokohama,quitter,-,Dpt au sens large,20
"Mais, sachant que le paquebot de Yokohama ne devait pas quitter Hong - Kong avant le lendemain matin, il ne s’ en préoccupa pas autrement.",le paquebot de Yokohama,quitter,Kong,Dpt au sens large,20
"Mais, sachant que le paquebot de Yokohama ne devait pas quitter Hong - Kong avant le lendemain matin, il ne s’ en préoccupa pas autrement.",le paquebot de Yokohama,quitter,avant le lendemain matin,Dpt au sens large,20
"Il était alors huit heures, et la pleine mer, dont le Carnatic devait profiter pour sortir des passes, était indiquée pour neuf heures et demie.",le Carnatic,sortir,des passes,Dpt au sens large,20
"Mr. Fogg, qui comptait trouver, à la fois, et le paquebot et son domestique, en était réduit à se passer de l’ un et de l’ autre.",Mr. Fogg,passer,se,Dpt au sens large,20
"Mr. Fogg, qui comptait trouver, à la fois, et le paquebot et son domestique, en était réduit à se passer de l’ un et de l’ autre.",Mr. Fogg,passer,de l’ un et de l’ autre,Dpt au sens large,20
"En prononçant ces mots  :«   huit jours  », Fix sentait son cœur bondir de joie.",Fix,bondir,de joie,Dynamicité spatiale sans dpt,20
"Toutefois, la chance sembla véritablement abandonner celui qu’ elle avait si bien servi jusqu’ alors.",la chance,abandonner,celui,Dpt au sens large,20
"Phileas Fogg, pendant trois heures, parcourut le port en tous sens, décidé, s’ il le fallait, à fréter un bâtiment pour le transporter à Yokohama  ; mais il ne vit que des navires en chargement ou en déchargement, et qui, par conséquent, ne pouvaient appareiller.",qui,appareiller,,Dpt au sens large,20
"Il regardait la mer, évidemment combattu entre le désir de gagner une somme énorme et la crainte de s’ aventurer si loin.",,gagner,une somme énorme,Dpt au sens large,20
Le temps d’ acheter des vivres et d’ appareiller.,,appareiller,,Dpt au sens large,20
"Le bateau-pilote n°   43, son équipage à bord, ses vivres embarqués, était prêt à appareiller.",,appareiller,,Dpt au sens large,20
"Elle devait merveilleusement marcher, et, de fait, elle avait déjà gagné plusieurs prix dans les«   matches  » de bateaux-pilotes.",Elle,marcher,,Dpt au sens large,20
"Mais son imprudence aurait été grande de tenter une telle traversée dans ces conditions, et c’ était déjà faire acte d’ audace, sinon de témérité, que de remonter jusqu’ à Shangaï.",c’,remonter,jusqu’ à Shangaï,Dpt au sens large,21
"Cela lui paraissait certain que le sieur Fogg ne s’ arrêterait pas à Yokohama, qu’ il prendrait immédiatement le paquebot de San Francisco afin d’ atteindre l’ Amérique, dont la vaste étendue lui assurerait l’ impunité avec la sécurité.",,atteindre,l’ Amérique,Dpt au sens large,21
"Au lieu de s’ embarquer en Angleterre pour les États-Unis, comme un coquin vulgaire, ce Fogg avait fait le grand tour et traversé les trois quarts du globe, afin de gagner plus sûrement le continent américain, où il mangerait tranquillement le million de la Banque, après avoir dépisté la police.",,embarquer,s’,Dpt au sens large,21
"Au lieu de s’ embarquer en Angleterre pour les États-Unis, comme un coquin vulgaire, ce Fogg avait fait le grand tour et traversé les trois quarts du globe, afin de gagner plus sûrement le continent américain, où il mangerait tranquillement le million de la Banque, après avoir dépisté la police.",,embarquer,en Angleterre,Dpt au sens large,21
"Au lieu de s’ embarquer en Angleterre pour les États-Unis, comme un coquin vulgaire, ce Fogg avait fait le grand tour et traversé les trois quarts du globe, afin de gagner plus sûrement le continent américain, où il mangerait tranquillement le million de la Banque, après avoir dépisté la police.",,embarquer,pour les États-Unis,Dpt au sens large,21
"Au lieu de s’ embarquer en Angleterre pour les États-Unis, comme un coquin vulgaire, ce Fogg avait fait le grand tour et traversé les trois quarts du globe, afin de gagner plus sûrement le continent américain, où il mangerait tranquillement le million de la Banque, après avoir dépisté la police.",,gagner,le continent américain,Dpt au sens large,21
"Voyager aux frais de cet homme, se nourrir de ses propres vivres, il trouvait à cela quelque chose de peu loyal.",,Voyager,aux frais de cet homme,Dpt au sens large,21
Il fit serrer toutes les voiles de la goélette et amener les vergues sur le pont.,,serrer,toutes les voiles de la goélette,Dynamicité spatiale sans dpt,21
"Pas une goutte d’ eau ne pouvait, dès lors, pénétrer dans la coque de l’ embarcation.",une goutte d’ eau,pénétrer,dans la coque de l’ embarcation,Dpt au sens large,21
"John Bunsby avait engagé ses passagers à descendre dans la cabine  ; mais, dans un étroit espace, à peu près privé d’ air, et par les secousses de la houle, cet emprisonnement n’ avait rien d’ agréable.",John Bunsby,descendre,dans la cabine,Dpt au sens large,21
"Aouda, ni Fix lui-même ne consentirent à quitter le pont.",Aouda ni Fix lui-même,quitter,le pont,Dpt au sens large,21
"«  Je crois, Votre Honneur, que nous ferions bien de gagner un des ports de la côte.",nous,gagner,un des ports de la côte,Dpt au sens large,21
"C’ était le soir même que Mr. Fogg devait arriver à Shangaï, s’ il ne voulait pas manquer le départ du paquebot de Yokohama.",Mr. Fogg,arriver,à Shangaï,Dpt au sens large,21
Il lui restait six heures encore pour gagner ce port avant le départ du paquebot de Yokohama.,,gagner,ce port,Dpt au sens large,21
Il lui restait six heures encore pour gagner ce port avant le départ du paquebot de Yokohama.,,gagner,avant le départ du paquebot de Yokohama,Dpt au sens large,21
On voulait arriver à tout prix.,On,arriver,à tout prix,Dpt au sens large,21
Tous– Phileas Fogg excepté sans doute– sentaient leur cœur battre d’ impatience.,,battre,d’ impatience,Dpt au sens large,21
Un formidable juron s’ échappa des lèvres du pilote… La prime de deux cents livres allait évidemment lui échapper.,La prime de deux cents livres,échapper,lui,Dpt au sens large,21
"C’ était un signal de détresse, et l’ on pouvait espérer que le paquebot américain, l’ apercevant, modifierait un instant sa route pour rallier l’ embarcation.",le paquebot américain,rallier,l’ embarcation,Dpt au sens large,21
"«  Pour celui -là, se dit -il, j’ espère bien que nous en sommes débarrassés, et qu’ il n’ a pas osé, après ce qu’ il m’ a proposé, nous suivre sur le Carnatic.",il,suivre,sur le Carnatic,Dpt au sens large,22
"Le plus pressé, c’ était de rejoindre Mr. Fogg et de lui faire agréer ses excuses pour cette inqualifiable conduite.",,rejoindre,Mr. Fogg,Dpt au sens large,22
Passepartout se laissa tomber sur un fauteuil.,Passepartout,tomber,sur un fauteuil,Dynamicité spatiale sans dpt,22
"Certain d’ y arriver, comment en reviendrait -il  ?",,arriver,y,Dpt au sens large,22
"Il mangea comme si le Japon, où il allait aborder, eût été un pays désert, dépourvu de toute substance comestible.",il,aborder,,Dynamicité spatiale sans dpt,22
"Il n’ avait rien de mieux à faire que de prendre le hasard pour guide, et d’ aller à l’ aventure par les rues de la ville.",,aller,à l’ aventure,Dpt au sens large,22
"Il n’ avait rien de mieux à faire que de prendre le hasard pour guide, et d’ aller à l’ aventure par les rues de la ville.",,aller,par les rues de la ville,Dpt au sens large,22
"Passepartout avait bien une ressource  : c’ était de se recommander près des agents consulaires français ou anglais établis à Yokohama  ; mais il lui répugnait de raconter son histoire, si intimement mêlée à celle de son maître, et avant d’ en venir là, il voulait avoir épuisé toutes les autres chances.",,venir,en,Dpt au sens large,22
"Passepartout avait bien une ressource  : c’ était de se recommander près des agents consulaires français ou anglais établis à Yokohama  ; mais il lui répugnait de raconter son histoire, si intimement mêlée à celle de son maître, et avant d’ en venir là, il voulait avoir épuisé toutes les autres chances.",,venir,là,Dpt au sens large,22
"Enfin, entre les voitures, les palanquins, les chevaux, les porteurs, les brouettes à voile, les«   norimons  » à parois de laque, les«   cangos  » moelleux, véritables litières en bambou, on voyait circuler, à petits pas de leur petit pied, chaussé de souliers de toile, de sandales de paille ou de socques en bois ouvragé, quelques femmes peu jolies, les yeux bridés, la poitrine déprimée, les dents noircies au goût du jour, mais portant avec élégance le vêtement national, le«   kirimon  », sorte de robe de chambre croisée d’ une écharpe de soie, dont la large ceinture s’ épanouissait derrière en un nœud extravagant,–   que les modernes Parisiennes semblent avoir emprunté aux Japonaises.",on,circuler,à petits pas de leur petit pied,Dpt au sens large,22
"Passepartout se promena pendant quelques heures au milieu de cette foule bigarrée, regardant aussi les curieuses et opulentes boutiques, les bazars où s’ entasse tout le clinquant de l’ orfèvrerie japonaise, les«   restaurations  » ornées de banderoles et de bannières, dans lesquelles il lui était interdit d’ entrer, et ces maisons de thé où se boit à pleine tasse l’ eau chaude odorante, avec le«   saki  », liqueur tirée du riz en fermentation, et ces confortables tabagies où l’ on fume un tabac très fin, et non l’ opium, dont l’ usage est à peu près inconnu au Japon.",il,entrer,,Dpt au sens large,22
"Certes, l’ honnête garçon avait, par prévision, aussi copieusement déjeuné qu’ il avait pu avant de quitter le Carnatic  ; mais après une journée de promenade, il se sentit l’ estomac très creux.",il,quitter,le Carnatic,Dpt au sens large,22
"Le premier soin de Passepartout, ainsi«   japonaisé  », fut d’ entrer dans une«   tea - house  » de modeste apparence, et là, d’ un reste de volaille et de quelques poignées de riz, il déjeuna en homme pour qui le dîner serait encore un problème à résoudre.",,entrer,dans une,Dpt au sens large,23
"Il faut donc aviser au moyen de quitter le plus promptement possible ce pays du Soleil, dont je ne garderai qu’ un lamentable souvenir  !  »",,quitter,ce pays du Soleil,Dpt au sens large,23
Passepartout songea alors à visiter les paquebots en partance pour l’ Amérique.,Passepartout,visiter,les paquebots en partance pour l’ Amérique,Dpt au sens large,23
"L’ important, c’ était de traverser ces quatre mille sept cents milles du Pacifique qui s’ étendent entre le Japon et le Nouveau Monde.",,traverser,ces quatre mille sept cents milles du Pacifique,Dpt au sens large,23
"C’ était l’ établissement de l’ honorable Batulcar, sorte de Barnum américain, directeur d’ une troupe de saltimbanques, jongleurs, clowns, acrobates, équilibristes, gymnastes, qui, suivant l’ affiche, donnait ses dernières représentations avant de quitter l’ empire du Soleil pour les États de l’ Union.",qui,quitter,l’ empire du Soleil,Dpt au sens large,23
"C’ était l’ établissement de l’ honorable Batulcar, sorte de Barnum américain, directeur d’ une troupe de saltimbanques, jongleurs, clowns, acrobates, équilibristes, gymnastes, qui, suivant l’ affiche, donnait ses dernières représentations avant de quitter l’ empire du Soleil pour les États de l’ Union.",qui,quitter,pour les États de l’ Union,Dpt au sens large,23
"Arrivé le matin même, 14 novembre, à l’ heure réglementaire, Phileas Fogg, laissant Fix aller à ses affaires, s’ était rendu à bord du Carnatic, et là il apprenait, à la grande joie de Mrs.",Phileas Fogg,aller,à ses affaires,Dpt au sens large,24
"Aouda– et peut-être à la sienne, mais du moins il n’ en laissa rien paraître– que le Français Passepartout était effectivement arrivé la veille à Yokohama.",rien,paraître,,Dpt au sens large,24
"Phileas Fogg, qui devait repartir le soir même pour San Francisco, se mit immédiatement à la recherche de son domestique.",qui,repartir,le soir,Dpt au sens large,24
"Phileas Fogg, qui devait repartir le soir même pour San Francisco, se mit immédiatement à la recherche de son domestique.",qui,repartir,pour San Francisco,Dpt au sens large,24
"Il s’ adressa, mais en vain, aux agents consulaires français et anglais, et, après avoir inutilement parcouru les rues de Yokohama, il désespérait de retrouver Passepartout, quand le hasard, ou peut-être une sorte de pressentiment, le fit entrer dans la case de l’ honorable Batulcar.",le hasard ou peut-être une sorte de pressentiment,entrer,le,Dpt au sens large,24
"Il s’ adressa, mais en vain, aux agents consulaires français et anglais, et, après avoir inutilement parcouru les rues de Yokohama, il désespérait de retrouver Passepartout, quand le hasard, ou peut-être une sorte de pressentiment, le fit entrer dans la case de l’ honorable Batulcar.",le hasard ou peut-être une sorte de pressentiment,entrer,dans la case de l’ honorable Batulcar,Dpt au sens large,24
"À filer ses douze milles à l’ heure, le paquebot ne devait pas employer plus de vingt et un jours pour traverser le Pacifique.",,traverser,le Pacifique,Dpt au sens large,24
"Cette silencieuse nature, si généreuse en somme, l’ impressionnait plus qu’ elle ne le croyait, et c’ était presque à son insu qu’ elle se laissait aller à des sentiments dont l’ énigmatique Fogg ne semblait aucunement subir l’ influence.",elle,aller,à des sentiments,Dpt au sens large,24
"À suivre circulairement le cinquantième parallèle, qui est celui de Londres, la distance n’ eût été que de douze mille milles environ, tandis que Phileas Fogg était forcé, par les caprices des moyens de locomotion, d’ en parcourir vingt-six mille dont il avait fait environ dix-sept mille cinq cents, à cette date du 23 novembre.",,suivre,le cinquantième parallèle qui est celui de Londres la distance n’ eût été que de douze mille milles environ,Dpt au sens large,24
"À suivre circulairement le cinquantième parallèle, qui est celui de Londres, la distance n’ eût été que de douze mille milles environ, tandis que Phileas Fogg était forcé, par les caprices des moyens de locomotion, d’ en parcourir vingt-six mille dont il avait fait environ dix-sept mille cinq cents, à cette date du 23 novembre.",Phileas Fogg,parcourir,en,Dpt au sens large,24
"À suivre circulairement le cinquantième parallèle, qui est celui de Londres, la distance n’ eût été que de douze mille milles environ, tandis que Phileas Fogg était forcé, par les caprices des moyens de locomotion, d’ en parcourir vingt-six mille dont il avait fait environ dix-sept mille cinq cents, à cette date du 23 novembre.",Phileas Fogg,parcourir,vingt-six mille,Dpt au sens large,24
"Ce coquin a tout l’ air de revenir dans sa patrie, croyant avoir dépisté la police.",Ce coquin,revenir,dans sa patrie,Dpt au sens large,24
"«  Maintenant, reprit Fix, Mr. Fogg semble retourner en Angleterre  ?",Mr. Fogg,retourner,en Angleterre,Dpt au sens large,24
"Passepartout, dans sa joie de toucher enfin la terre américaine, avait cru devoir opérer son débarquement en exécutant un saut périlleux du plus beau style.",,toucher,la terre américaine,Dynamicité spatiale sans dpt,25
"Mais quand il retomba sur le quai dont le plancher était vermoulu, il faillit passer au travers.",il,passer,au travers,Dpt au sens large,25
Il fit venir une voiture pour Mrs.,,venir,une voiture,Dpt au sens large,25
Il fit venir une voiture pour Mrs.,,venir,pour Mrs,Dpt au sens large,25
"En tout cas, Fix ne pouvait être qu’ honoré de revoir le gentleman auquel il devait tant, et, ses affaires le rappelant en Europe, il serait enchanté de poursuivre son voyage en une si agréable compagnie.",il,poursuivre,son voyage,Dpt au sens large,25
"En tout cas, Fix ne pouvait être qu’ honoré de revoir le gentleman auquel il devait tant, et, ses affaires le rappelant en Europe, il serait enchanté de poursuivre son voyage en une si agréable compagnie.",il,poursuivre,en une si agréable compagnie,Dpt au sens large,25
"Mr. Fogg répondit que l’ honneur serait pour lui, et Fix– qui tenait à ne point le perdre de vue– lui demanda la permission de visiter avec lui cette curieuse ville de San Francisco.",,visiter,avec lui,Dpt au sens large,25
"Mr. Fogg répondit que l’ honneur serait pour lui, et Fix– qui tenait à ne point le perdre de vue– lui demanda la permission de visiter avec lui cette curieuse ville de San Francisco.",,visiter,cette curieuse ville de San Francisco,Dpt au sens large,25
"Devant eux, de l’ autre côté de la rue, entre le wharf d’ un marchand de charbon et le magasin d’ un négociant en pétrole, se développait un large bureau en plein vent, vers lequel les divers courants de la foule semblaient converger.",les divers courants de la foule,converger,,Dpt au sens large,25
"L’ un des partis était évidemment repoussé, sans que les simples spectateurs pussent reconnaître si l’ avantage restait à Mandiboy ou à Kamerfield.",les simples spectateurs,reconnaître,,Dynamicité spatiale sans dpt,25
Il était trop tard pour s’ échapper.,,échapper,s’,Dpt au sens large,25
"Au moment de monter en voiture, Mr. Fogg dit à Fix  :",,monter,en voiture,Dpt au sens large,25
"Au moment où Mr. Fogg allait s’ embarquer, il avisa un employé et le rejoignant  :",Mr. Fogg,embarquer,s’,Dpt au sens large,25
"Autrefois, dans les circonstances les plus favorables, on employait six mois pour aller de New York à San Francisco.",on,aller,de New York à San Francisco,Dpt au sens large,26
"Sur toute la longueur du train, les voitures communiquaient entre elles par des passerelles, et les voyageurs pouvaient circuler d’ une extrémité à l’ autre du convoi, qui mettait à leur disposition des wagons-salons, des wagons-terrasses, des wagons-restaurants et des wagons à cafés.",les voyageurs,circuler,d’ une extrémité à l’ autre du convoi,Dpt au sens large,26
"En tenant compte des arrêts, il ne parcourait pas plus de vingt milles à l’ heure, vitesse qui devait, cependant, lui permettre de franchir les États-Unis dans les temps réglementaires.",,franchir,les États-Unis,Dpt au sens large,26
"En tenant compte des arrêts, il ne parcourait pas plus de vingt milles à l’ heure, vitesse qui devait, cependant, lui permettre de franchir les États-Unis dans les temps réglementaires.",,franchir,dans les temps réglementaires,Dpt au sens large,26
"D’ ailleurs, le sommeil allait bientôt gagner les voyageurs.",le sommeil,gagner,les voyageurs,Dpt au sens large,26
