,cle_triptyque,chapter,Num_paragr,Num_phrase,Phrase,Sujet,Verbe,Objet,time_texte_auto,time_code_auto,time_texte,time_code,time_source,time_ud_governor,temps_ref,temps_auto,statut_temps
310,2 || 32 || 83 || qui || voyait || se,2,32,83,"C' est qu' en effet, Phileas Fogg était l' exactitude personnifiée, ce qui se voyait clairement à« l' expression de ses pieds et de ses mains», car chez l' homme, aussi bien que chez les animaux, les membres eux - mêmes sont des organes expressifs des passions.",qui,voyait,se,pendant les quelques instants,1872-10-02-11,ce mercredi 2 octobre 1872,1872-10-02-00-00,precedent_context,êtes,1872-10-02-11,1872-10-02-00,temps_different
311,2 || 32 || 83 || qui || voyait || à l'expression de ses pieds et de ses mains,2,32,83,"C' est qu' en effet, Phileas Fogg était l' exactitude personnifiée, ce qui se voyait clairement à« l' expression de ses pieds et de ses mains», car chez l' homme, aussi bien que chez les animaux, les membres eux - mêmes sont des organes expressifs des passions.",qui,voyait,à l'expression de ses pieds et de ses mains,pendant les quelques instants,1872-10-02-11,ce mercredi 2 octobre 1872,1872-10-02-00-00,precedent_context,êtes,1872-10-02-11,1872-10-02-00,temps_different
312,2 || 33 || 84 || qui || pressés || _,2,33,84,"Phileas Fogg était de ces gens mathématiquement exacts, qui, jamais pressés et toujours prêts, sont économes de leurs pas et de leurs mouvements.",qui,pressés,,pendant les quelques instants,1872-10-02-11,ce mercredi 2 octobre 1872,1872-10-02-00-00,precedent_context,êtes,1872-10-02-11,1872-10-02-00,temps_different
313,2 || 33 || 85 || il || faisait || une enjambée de trop,2,33,85,"Il ne faisait pas une enjambée de trop, allant toujours par le plus court.",Il,faisait,une enjambée de trop,pendant les quelques instants,1872-10-02-11,ce mercredi 2 octobre 1872,1872-10-02-00-00,precedent_context,êtes,1872-10-02-11,1872-10-02-00,temps_different
314,2 || 33 || 85 || il || allant || par le plus court,2,33,85,"Il ne faisait pas une enjambée de trop, allant toujours par le plus court.",Il,allant,par le plus court,pendant les quelques instants,1872-10-02-11,ce mercredi 2 octobre 1872,1872-10-02-00-00,precedent_context,êtes,1872-10-02-11,1872-10-02-00,temps_different
315,2 || 33 || 86 || il || perdait || un regard au plafond,2,33,86,Il ne perdait pas un regard au plafond.,Il,perdait,un regard au plafond,pendant les quelques instants,1872-10-02-11,ce mercredi 2 octobre 1872,1872-10-02-00-00,precedent_context,êtes,1872-10-02-11,1872-10-02-00,temps_different
316,2 || 33 || 87 || il || permettait || se,2,33,87,Il ne se permettait aucun geste superflu.,Il,permettait,se,pendant les quelques instants,1872-10-02-11,ce mercredi 2 octobre 1872,1872-10-02-00-00,precedent_context,êtes,1872-10-02-11,1872-10-02-00,temps_different
317,2 || 33 || 87 || il || permettait || aucun geste superflu,2,33,87,Il ne se permettait aucun geste superflu.,Il,permettait,aucun geste superflu,pendant les quelques instants,1872-10-02-11,ce mercredi 2 octobre 1872,1872-10-02-00-00,precedent_context,êtes,1872-10-02-11,1872-10-02-00,temps_different
318,2 || 33 || 88 || on || vu || l',2,33,88,On ne l' avait jamais vu ému ni troublé.,On,vu,l',pendant les quelques instants,1872-10-02-11,ce mercredi 2 octobre 1872,1872-10-02-00-00,precedent_context,êtes,1872-10-02-11,1872-10-02-00,temps_different
319,2 || 33 || 88 || on || ému || _,2,33,88,On ne l' avait jamais vu ému ni troublé.,On,ému,,pendant les quelques instants,1872-10-02-11,ce mercredi 2 octobre 1872,1872-10-02-00-00,precedent_context,êtes,1872-10-02-11,1872-10-02-00,temps_different
320,2 || 33 || 88 || on || troublé || _,2,33,88,On ne l' avait jamais vu ému ni troublé.,On,troublé,,pendant les quelques instants,1872-10-02-11,ce mercredi 2 octobre 1872,1872-10-02-00-00,precedent_context,êtes,1872-10-02-11,1872-10-02-00,temps_different
321,2 || 33 || 89 || il || arrivait || à temps,2,33,89,"C' était l' homme le moins hâté du monde, mais il arrivait toujours à temps.",il,arrivait,à temps,pendant les quelques instants,1872-10-02-11,ce mercredi 2 octobre 1872,1872-10-02-00-00,precedent_context,êtes,1872-10-02-11,1872-10-02-00,temps_different
322,2 || 33 || 90 || on || comprendra || _,2,33,90,"Toutefois, on comprendra qu' il vécût seul et pour ainsi dire en dehors de toute relation sociale.",on,comprendra,,pendant les quelques instants,1872-10-02-11,ce mercredi 2 octobre 1872,1872-10-02-00-00,precedent_context,êtes,1872-10-02-11,1872-10-02-00,temps_different
323,2 || 33 || 90 || il || vécût || _,2,33,90,"Toutefois, on comprendra qu' il vécût seul et pour ainsi dire en dehors de toute relation sociale.",il,vécût,,pendant les quelques instants,1872-10-02-11,ce mercredi 2 octobre 1872,1872-10-02-00-00,precedent_context,êtes,1872-10-02-11,1872-10-02-00,temps_different
324,2 || 33 || 90 || _ || dire || _,2,33,90,"Toutefois, on comprendra qu' il vécût seul et pour ainsi dire en dehors de toute relation sociale.",,dire,,pendant les quelques instants,1872-10-02-11,ce mercredi 2 octobre 1872,1872-10-02-00-00,precedent_context,êtes,1872-10-02-11,1872-10-02-00,temps_different
325,2 || 33 || 91 || il || savait || _,2,33,91,"Il savait que dans la vie il faut faire la part des frottements, et comme les frottements retardent, il ne se frottait à personne.",Il,savait,,pendant les quelques instants,1872-10-02-11,ce mercredi 2 octobre 1872,1872-10-02-00-00,precedent_context,êtes,1872-10-02-11,1872-10-02-00,temps_different
326,2 || 33 || 91 || il || faut || dans la vie,2,33,91,"Il savait que dans la vie il faut faire la part des frottements, et comme les frottements retardent, il ne se frottait à personne.",Il,faut,dans la vie,pendant les quelques instants,1872-10-02-11,ce mercredi 2 octobre 1872,1872-10-02-00-00,precedent_context,êtes,1872-10-02-11,1872-10-02-00,temps_different
327,2 || 33 || 91 || _ || faire || la part des frottements,2,33,91,"Il savait que dans la vie il faut faire la part des frottements, et comme les frottements retardent, il ne se frottait à personne.",,faire,la part des frottements,pendant les quelques instants,1872-10-02-11,ce mercredi 2 octobre 1872,1872-10-02-00-00,precedent_context,êtes,1872-10-02-11,1872-10-02-00,temps_different
328,2 || 33 || 91 || les frottements || retardent || _,2,33,91,"Il savait que dans la vie il faut faire la part des frottements, et comme les frottements retardent, il ne se frottait à personne.",les frottements,retardent,,pendant les quelques instants,1872-10-02-11,ce mercredi 2 octobre 1872,1872-10-02-00-00,precedent_context,êtes,1872-10-02-11,1872-10-02-00,temps_different
329,2 || 33 || 91 || il || frottait || se,2,33,91,"Il savait que dans la vie il faut faire la part des frottements, et comme les frottements retardent, il ne se frottait à personne.",il,frottait,se,pendant les quelques instants,1872-10-02-11,ce mercredi 2 octobre 1872,1872-10-02-00-00,precedent_context,êtes,1872-10-02-11,1872-10-02-00,temps_different
330,2 || 33 || 91 || il || frottait || à personne,2,33,91,"Il savait que dans la vie il faut faire la part des frottements, et comme les frottements retardent, il ne se frottait à personne.",il,frottait,à personne,pendant les quelques instants,1872-10-02-11,ce mercredi 2 octobre 1872,1872-10-02-00-00,precedent_context,êtes,1872-10-02-11,1872-10-02-00,temps_different
331,2 || 34 || 92 || _ || dit || passepartout,2,34,92,"Quant à Jean, dit Passepartout, un vrai Parisien de Paris, depuis cinq ans qu' il habitait l' Angleterre et y faisait à Londres le métier de valet de chambre, il avait cherché vainement un maître auquel il pût s' attacher.",,dit,Passepartout,depuis cinq ans,1867-00-00-00,ce mercredi 2 octobre 1872,1872-10-02-00-00,precedent_context,êtes,1867-00-00-00,1872-10-02-00,temps_different
332,2 || 34 || 92 || il || habitait || l'angleterre,2,34,92,"Quant à Jean, dit Passepartout, un vrai Parisien de Paris, depuis cinq ans qu' il habitait l' Angleterre et y faisait à Londres le métier de valet de chambre, il avait cherché vainement un maître auquel il pût s' attacher.",il,habitait,l'Angleterre,depuis cinq ans,1867-00-00-00,ce mercredi 2 octobre 1872,1872-10-02-00-00,precedent_context,êtes,1867-00-00-00,1872-10-02-00,temps_different
333,2 || 34 || 92 || il || faisait || y,2,34,92,"Quant à Jean, dit Passepartout, un vrai Parisien de Paris, depuis cinq ans qu' il habitait l' Angleterre et y faisait à Londres le métier de valet de chambre, il avait cherché vainement un maître auquel il pût s' attacher.",il,faisait,y,depuis cinq ans,1867-00-00-00,ce mercredi 2 octobre 1872,1872-10-02-00-00,precedent_context,êtes,1867-00-00-00,1872-10-02-00,temps_different
334,2 || 34 || 92 || il || faisait || à londres,2,34,92,"Quant à Jean, dit Passepartout, un vrai Parisien de Paris, depuis cinq ans qu' il habitait l' Angleterre et y faisait à Londres le métier de valet de chambre, il avait cherché vainement un maître auquel il pût s' attacher.",il,faisait,à Londres,depuis cinq ans,1867-00-00-00,ce mercredi 2 octobre 1872,1872-10-02-00-00,precedent_context,êtes,1867-00-00-00,1872-10-02-00,temps_different
335,2 || 34 || 92 || il || faisait || le métier de valet de chambre,2,34,92,"Quant à Jean, dit Passepartout, un vrai Parisien de Paris, depuis cinq ans qu' il habitait l' Angleterre et y faisait à Londres le métier de valet de chambre, il avait cherché vainement un maître auquel il pût s' attacher.",il,faisait,le métier de valet de chambre,depuis cinq ans,1867-00-00-00,ce mercredi 2 octobre 1872,1872-10-02-00-00,precedent_context,êtes,1867-00-00-00,1872-10-02-00,temps_different
336,2 || 34 || 92 || il || cherché || quant à jean un vrai parisien de paris,2,34,92,"Quant à Jean, dit Passepartout, un vrai Parisien de Paris, depuis cinq ans qu' il habitait l' Angleterre et y faisait à Londres le métier de valet de chambre, il avait cherché vainement un maître auquel il pût s' attacher.",il,cherché,Quant à Jean un vrai Parisien de Paris,depuis cinq ans,1867-00-00-00,depuis cinq ans,1872-10-02-00-00,ud_direct,cherché,1867-00-00-00,1872-10-02-00,temps_different
337,2 || 34 || 92 || il || cherché || depuis cinq ans,2,34,92,"Quant à Jean, dit Passepartout, un vrai Parisien de Paris, depuis cinq ans qu' il habitait l' Angleterre et y faisait à Londres le métier de valet de chambre, il avait cherché vainement un maître auquel il pût s' attacher.",il,cherché,depuis cinq ans,depuis cinq ans,1867-00-00-00,depuis cinq ans,1872-10-02-00-00,objet,cherché,1867-00-00-00,1872-10-02-00,temps_different
338,2 || 34 || 92 || il || cherché || un maître,2,34,92,"Quant à Jean, dit Passepartout, un vrai Parisien de Paris, depuis cinq ans qu' il habitait l' Angleterre et y faisait à Londres le métier de valet de chambre, il avait cherché vainement un maître auquel il pût s' attacher.",il,cherché,un maître,depuis cinq ans,1867-00-00-00,depuis cinq ans,1872-10-02-00-00,ud_direct,cherché,1867-00-00-00,1872-10-02-00,temps_different
339,2 || 34 || 92 || il || pût || _,2,34,92,"Quant à Jean, dit Passepartout, un vrai Parisien de Paris, depuis cinq ans qu' il habitait l' Angleterre et y faisait à Londres le métier de valet de chambre, il avait cherché vainement un maître auquel il pût s' attacher.",il,pût,,depuis cinq ans,1867-00-00-00,ce mercredi 2 octobre 1872,1872-10-02-00-00,precedent_context,êtes,1867-00-00-00,1872-10-02-00,temps_different
340,2 || 34 || 92 || il || attacher || s',2,34,92,"Quant à Jean, dit Passepartout, un vrai Parisien de Paris, depuis cinq ans qu' il habitait l' Angleterre et y faisait à Londres le métier de valet de chambre, il avait cherché vainement un maître auquel il pût s' attacher.",il,attacher,s',depuis cinq ans,1867-00-00-00,ce mercredi 2 octobre 1872,1872-10-02-00-00,precedent_context,êtes,1867-00-00-00,1872-10-02-00,temps_different
341,2 || 35 || 93 || _ || assuré || _,2,35,93,"Passepartout n' était point un de ces Frontins ou Mascarilles qui, les épaules hautes, le nez au vent, le regard assuré, l' œil sec, ne sont que d' impudents drôles. Non.",,assuré,,depuis cinq ans,1867-00-00-00,ce mercredi 2 octobre 1872,1872-10-02-00-00,precedent_context,êtes,1867-00-00-00,1872-10-02-00,temps_different
342,2 || 35 || 94 || _ || goûter || _,2,35,94,"Passepartout était un brave garçon, de physionomie aimable, aux lèvres un peu saillantes, toujours prêtes à goûter ou à caresser, un être doux et serviable, avec une de ces bonnes têtes rondes que l' on aime à voir sur les épaules d' un ami.",,goûter,,depuis cinq ans,1867-00-00-00,ce mercredi 2 octobre 1872,1872-10-02-00-00,precedent_context,êtes,1867-00-00-00,1872-10-02-00,temps_different
343,2 || 35 || 94 || _ || caresser || _,2,35,94,"Passepartout était un brave garçon, de physionomie aimable, aux lèvres un peu saillantes, toujours prêtes à goûter ou à caresser, un être doux et serviable, avec une de ces bonnes têtes rondes que l' on aime à voir sur les épaules d' un ami.",,caresser,,depuis cinq ans,1867-00-00-00,ce mercredi 2 octobre 1872,1872-10-02-00-00,precedent_context,êtes,1867-00-00-00,1872-10-02-00,temps_different
344,2 || 35 || 94 || l' || aime || que,2,35,94,"Passepartout était un brave garçon, de physionomie aimable, aux lèvres un peu saillantes, toujours prêtes à goûter ou à caresser, un être doux et serviable, avec une de ces bonnes têtes rondes que l' on aime à voir sur les épaules d' un ami.",l',aime,que,depuis cinq ans,1867-00-00-00,ce mercredi 2 octobre 1872,1872-10-02-00-00,precedent_context,êtes,1867-00-00-00,1872-10-02-00,temps_different
345,2 || 35 || 94 || l' || voir || sur les épaules d'un ami,2,35,94,"Passepartout était un brave garçon, de physionomie aimable, aux lèvres un peu saillantes, toujours prêtes à goûter ou à caresser, un être doux et serviable, avec une de ces bonnes têtes rondes que l' on aime à voir sur les épaules d' un ami.",l',voir,sur les épaules d'un ami,depuis cinq ans,1867-00-00-00,ce mercredi 2 octobre 1872,1872-10-02-00-00,precedent_context,êtes,1867-00-00-00,1872-10-02-00,temps_different
346,2 || 35 || 95 || il || avait || les yeux bleus le teint la figure assez grasse,2,35,95,"Il avait les yeux bleus, le teint animé, la figure assez grasse pour qu' il pût lui-même voir les pommettes de ses joues, la poitrine large, la taille forte, une musculature vigoureuse, et il possédait une force herculéenne que les exercices de sa jeunesse avaient admirablement développée.",Il,avait,les yeux bleus le teint la figure assez grasse,depuis cinq ans,1867-00-00-00,ce mercredi 2 octobre 1872,1872-10-02-00-00,precedent_context,êtes,1867-00-00-00,1872-10-02-00,temps_different
347,2 || 35 || 95 || _ || animé || _,2,35,95,"Il avait les yeux bleus, le teint animé, la figure assez grasse pour qu' il pût lui-même voir les pommettes de ses joues, la poitrine large, la taille forte, une musculature vigoureuse, et il possédait une force herculéenne que les exercices de sa jeunesse avaient admirablement développée.",,animé,,depuis cinq ans,1867-00-00-00,ce mercredi 2 octobre 1872,1872-10-02-00-00,precedent_context,êtes,1867-00-00-00,1872-10-02-00,temps_different
348,2 || 35 || 95 || il || pût || _,2,35,95,"Il avait les yeux bleus, le teint animé, la figure assez grasse pour qu' il pût lui-même voir les pommettes de ses joues, la poitrine large, la taille forte, une musculature vigoureuse, et il possédait une force herculéenne que les exercices de sa jeunesse avaient admirablement développée.",il,pût,,depuis cinq ans,1867-00-00-00,ce mercredi 2 octobre 1872,1872-10-02-00-00,precedent_context,êtes,1867-00-00-00,1872-10-02-00,temps_different
349,2 || 35 || 95 || il || voir || les pommettes de ses joues la poitrine large la taille forte une musculature vigoureuse,2,35,95,"Il avait les yeux bleus, le teint animé, la figure assez grasse pour qu' il pût lui-même voir les pommettes de ses joues, la poitrine large, la taille forte, une musculature vigoureuse, et il possédait une force herculéenne que les exercices de sa jeunesse avaient admirablement développée.",il,voir,les pommettes de ses joues la poitrine large la taille forte une musculature vigoureuse,depuis cinq ans,1867-00-00-00,ce mercredi 2 octobre 1872,1872-10-02-00-00,precedent_context,êtes,1867-00-00-00,1872-10-02-00,temps_different
350,2 || 35 || 95 || il || possédait || une force herculéenne,2,35,95,"Il avait les yeux bleus, le teint animé, la figure assez grasse pour qu' il pût lui-même voir les pommettes de ses joues, la poitrine large, la taille forte, une musculature vigoureuse, et il possédait une force herculéenne que les exercices de sa jeunesse avaient admirablement développée.",il,possédait,une force herculéenne,depuis cinq ans,1867-00-00-00,ce mercredi 2 octobre 1872,1872-10-02-00-00,precedent_context,êtes,1867-00-00-00,1872-10-02-00,temps_different
351,2 || 35 || 95 || les exercices de sa jeunesse || développée || que,2,35,95,"Il avait les yeux bleus, le teint animé, la figure assez grasse pour qu' il pût lui-même voir les pommettes de ses joues, la poitrine large, la taille forte, une musculature vigoureuse, et il possédait une force herculéenne que les exercices de sa jeunesse avaient admirablement développée.",les exercices de sa jeunesse,développée,que,depuis cinq ans,1867-00-00-00,ce mercredi 2 octobre 1872,1872-10-02-00-00,precedent_context,êtes,1867-00-00-00,1872-10-02-00,temps_different
352,2 || 35 || 97 || les sculpteurs de l'antiquité || connaissaient || dix-huit façons,2,35,97,"Si les sculpteurs de l' Antiquité connaissaient dix-huit façons d' arranger la chevelure de Minerve, Passepartout n' en connaissait qu' une pour disposer la sienne: trois coups de démêloir, et il était coiffé.",les sculpteurs de l'Antiquité,connaissaient,dix-huit façons,depuis cinq ans,1867-00-00-00,ce mercredi 2 octobre 1872,1872-10-02-00-00,precedent_context,êtes,1867-00-00-00,1872-10-02-00,temps_different
353,2 || 35 || 97 || _ || arranger || la chevelure de minerve,2,35,97,"Si les sculpteurs de l' Antiquité connaissaient dix-huit façons d' arranger la chevelure de Minerve, Passepartout n' en connaissait qu' une pour disposer la sienne: trois coups de démêloir, et il était coiffé.",,arranger,la chevelure de Minerve,depuis cinq ans,1867-00-00-00,ce mercredi 2 octobre 1872,1872-10-02-00-00,precedent_context,êtes,1867-00-00-00,1872-10-02-00,temps_different
354,2 || 35 || 97 || passepartout || connaissait || en,2,35,97,"Si les sculpteurs de l' Antiquité connaissaient dix-huit façons d' arranger la chevelure de Minerve, Passepartout n' en connaissait qu' une pour disposer la sienne: trois coups de démêloir, et il était coiffé.",Passepartout,connaissait,en,depuis cinq ans,1867-00-00-00,ce mercredi 2 octobre 1872,1872-10-02-00-00,precedent_context,êtes,1867-00-00-00,1872-10-02-00,temps_different
355,2 || 35 || 97 || passepartout || connaissait || qu'une,2,35,97,"Si les sculpteurs de l' Antiquité connaissaient dix-huit façons d' arranger la chevelure de Minerve, Passepartout n' en connaissait qu' une pour disposer la sienne: trois coups de démêloir, et il était coiffé.",Passepartout,connaissait,qu'une,depuis cinq ans,1867-00-00-00,ce mercredi 2 octobre 1872,1872-10-02-00-00,precedent_context,êtes,1867-00-00-00,1872-10-02-00,temps_different
356,2 || 35 || 97 || passepartout || disposer || la sienne,2,35,97,"Si les sculpteurs de l' Antiquité connaissaient dix-huit façons d' arranger la chevelure de Minerve, Passepartout n' en connaissait qu' une pour disposer la sienne: trois coups de démêloir, et il était coiffé.",Passepartout,disposer,la sienne,depuis cinq ans,1867-00-00-00,ce mercredi 2 octobre 1872,1872-10-02-00-00,precedent_context,êtes,1867-00-00-00,1872-10-02-00,temps_different
357,2 || 35 || 97 || passepartout || disposer || trois coups de démêloir,2,35,97,"Si les sculpteurs de l' Antiquité connaissaient dix-huit façons d' arranger la chevelure de Minerve, Passepartout n' en connaissait qu' une pour disposer la sienne: trois coups de démêloir, et il était coiffé.",Passepartout,disposer,trois coups de démêloir,depuis cinq ans,1867-00-00-00,ce mercredi 2 octobre 1872,1872-10-02-00-00,precedent_context,êtes,1867-00-00-00,1872-10-02-00,temps_different
358,2 || 35 || 97 || il || coiffé || _,2,35,97,"Si les sculpteurs de l' Antiquité connaissaient dix-huit façons d' arranger la chevelure de Minerve, Passepartout n' en connaissait qu' une pour disposer la sienne: trois coups de démêloir, et il était coiffé.",il,coiffé,,depuis cinq ans,1867-00-00-00,ce mercredi 2 octobre 1872,1872-10-02-00-00,precedent_context,êtes,1867-00-00-00,1872-10-02-00,temps_different
359,2 || 36 || 98 || _ || dire || _,2,36,98,"De dire si le caractère expansif de ce garçon s' accorderait avec celui de Phileas Fogg, c' est ce que la prudence la plus élémentaire ne permet pas.",,dire,,depuis cinq ans,1867-00-00-00,ce mercredi 2 octobre 1872,1872-10-02-00-00,precedent_context,êtes,1867-00-00-00,1872-10-02-00,temps_different
360,2 || 36 || 98 || le caractère expansif de ce garçon || accorderait || avec celui de phileas fogg,2,36,98,"De dire si le caractère expansif de ce garçon s' accorderait avec celui de Phileas Fogg, c' est ce que la prudence la plus élémentaire ne permet pas.",le caractère expansif de ce garçon,accorderait,avec celui de Phileas Fogg,depuis cinq ans,1867-00-00-00,ce mercredi 2 octobre 1872,1872-10-02-00-00,precedent_context,êtes,1867-00-00-00,1872-10-02-00,temps_different
361,2 || 36 || 98 || la prudence la plus élémentaire || permet || que,2,36,98,"De dire si le caractère expansif de ce garçon s' accorderait avec celui de Phileas Fogg, c' est ce que la prudence la plus élémentaire ne permet pas.",la prudence la plus élémentaire,permet,que,depuis cinq ans,1867-00-00-00,ce mercredi 2 octobre 1872,1872-10-02-00-00,precedent_context,êtes,1867-00-00-00,1872-10-02-00,temps_different
362,2 || 36 || 99 || _ || fallait || qu',2,36,99,Passepartout serait -il ce domestique foncièrement exact qu' il fallait à son maître?,,fallait,qu',depuis cinq ans,1867-00-00-00,ce mercredi 2 octobre 1872,1872-10-02-00-00,precedent_context,êtes,1867-00-00-00,1872-10-02-00,temps_different
363,2 || 36 || 99 || _ || fallait || à son maître,2,36,99,Passepartout serait -il ce domestique foncièrement exact qu' il fallait à son maître?,,fallait,à son maître,depuis cinq ans,1867-00-00-00,ce mercredi 2 octobre 1872,1872-10-02-00-00,precedent_context,êtes,1867-00-00-00,1872-10-02-00,temps_different
364,2 || 36 || 100 || on || verrait || le,2,36,100,On ne le verrait qu' à l' user.,On,verrait,le,depuis cinq ans,1867-00-00-00,ce mercredi 2 octobre 1872,1872-10-02-00-00,precedent_context,êtes,1867-00-00-00,1872-10-02-00,temps_different
365,2 || 36 || 100 || on || user || l',2,36,100,On ne le verrait qu' à l' user.,On,user,l',depuis cinq ans,1867-00-00-00,ce mercredi 2 octobre 1872,1872-10-02-00-00,precedent_context,êtes,1867-00-00-00,1872-10-02-00,temps_different
366,2 || 36 || 101 || on || eu || _,2,36,101,"Après avoir eu, on le sait, une jeunesse assez vagabonde, il aspirait au repos.",on,eu,,depuis cinq ans,1867-00-00-00,ce mercredi 2 octobre 1872,1872-10-02-00-00,precedent_context,êtes,1867-00-00-00,1872-10-02-00,temps_different
367,2 || 36 || 101 || on || sait || le,2,36,101,"Après avoir eu, on le sait, une jeunesse assez vagabonde, il aspirait au repos.",on,sait,le,depuis cinq ans,1867-00-00-00,ce mercredi 2 octobre 1872,1872-10-02-00-00,precedent_context,êtes,1867-00-00-00,1872-10-02-00,temps_different
368,2 || 36 || 101 || il || aspirait || une jeunesse assez vagabonde,2,36,101,"Après avoir eu, on le sait, une jeunesse assez vagabonde, il aspirait au repos.",il,aspirait,une jeunesse assez vagabonde,depuis cinq ans,1867-00-00-00,ce mercredi 2 octobre 1872,1872-10-02-00-00,precedent_context,êtes,1867-00-00-00,1872-10-02-00,temps_different
369,2 || 36 || 101 || il || aspirait || au repos,2,36,101,"Après avoir eu, on le sait, une jeunesse assez vagabonde, il aspirait au repos.",il,aspirait,au repos,depuis cinq ans,1867-00-00-00,ce mercredi 2 octobre 1872,1872-10-02-00-00,precedent_context,êtes,1867-00-00-00,1872-10-02-00,temps_different
370,2 || 36 || 102 || il || entendu || _,2,36,102,"Ayant entendu vanter le méthodisme anglais et la froideur proverbiale des gentlemen, il vint chercher fortune en Angleterre.",il,entendu,,depuis cinq ans,1867-00-00-00,ce mercredi 2 octobre 1872,1872-10-02-00-00,precedent_context,êtes,1867-00-00-00,1872-10-02-00,temps_different
371,2 || 36 || 102 || _ || vanter || le méthodisme anglais et la froideur proverbiale des gentlemen,2,36,102,"Ayant entendu vanter le méthodisme anglais et la froideur proverbiale des gentlemen, il vint chercher fortune en Angleterre.",,vanter,le méthodisme anglais et la froideur proverbiale des gentlemen,depuis cinq ans,1867-00-00-00,ce mercredi 2 octobre 1872,1872-10-02-00-00,precedent_context,êtes,1867-00-00-00,1872-10-02-00,temps_different
372,2 || 36 || 102 || il || vint || _,2,36,102,"Ayant entendu vanter le méthodisme anglais et la froideur proverbiale des gentlemen, il vint chercher fortune en Angleterre.",il,vint,,depuis cinq ans,1867-00-00-00,ce mercredi 2 octobre 1872,1872-10-02-00-00,precedent_context,êtes,1867-00-00-00,1872-10-02-00,temps_different
373,2 || 36 || 102 || il || chercher || fortune,2,36,102,"Ayant entendu vanter le méthodisme anglais et la froideur proverbiale des gentlemen, il vint chercher fortune en Angleterre.",il,chercher,fortune,depuis cinq ans,1867-00-00-00,ce mercredi 2 octobre 1872,1872-10-02-00-00,precedent_context,êtes,1867-00-00-00,1872-10-02-00,temps_different
374,2 || 36 || 102 || il || chercher || en angleterre,2,36,102,"Ayant entendu vanter le méthodisme anglais et la froideur proverbiale des gentlemen, il vint chercher fortune en Angleterre.",il,chercher,en Angleterre,depuis cinq ans,1867-00-00-00,ce mercredi 2 octobre 1872,1872-10-02-00-00,precedent_context,êtes,1867-00-00-00,1872-10-02-00,temps_different
375,2 || 36 || 103 || le sort || servi || l',2,36,103,"Mais, jusqu' alors, le sort l' avait mal servi.",le sort,servi,l',depuis cinq ans,1867-00-00-00,ce mercredi 2 octobre 1872,1872-10-02-00-00,precedent_context,êtes,1867-00-00-00,1872-10-02-00,temps_different
376,2 || 36 || 104 || il || pu || _,2,36,104,Il n' avait pu prendre racine nulle part.,Il,pu,,depuis cinq ans,1867-00-00-00,ce mercredi 2 octobre 1872,1872-10-02-00-00,precedent_context,êtes,1867-00-00-00,1872-10-02-00,temps_different
377,2 || 36 || 104 || il || prendre || racine,2,36,104,Il n' avait pu prendre racine nulle part.,Il,prendre,racine,depuis cinq ans,1867-00-00-00,ce mercredi 2 octobre 1872,1872-10-02-00-00,precedent_context,êtes,1867-00-00-00,1872-10-02-00,temps_different
378,2 || 36 || 104 || il || prendre || nulle part,2,36,104,Il n' avait pu prendre racine nulle part.,Il,prendre,nulle part,depuis cinq ans,1867-00-00-00,ce mercredi 2 octobre 1872,1872-10-02-00-00,precedent_context,êtes,1867-00-00-00,1872-10-02-00,temps_different
379,2 || 36 || 105 || il || fait || dix maisons,2,36,105,Il avait fait dix maisons.,Il,fait,dix maisons,depuis cinq ans,1867-00-00-00,ce mercredi 2 octobre 1872,1872-10-02-00-00,precedent_context,êtes,1867-00-00-00,1872-10-02-00,temps_different
380,2 || 36 || 106 || qui || pouvait || _,2,36,106,"Dans toutes, on était fantasque, inégal, coureur d' aventures ou coureur de pays,- ce qui ne pouvait plus convenir à Passepartout.",qui,pouvait,,depuis cinq ans,1867-00-00-00,ce mercredi 2 octobre 1872,1872-10-02-00-00,precedent_context,êtes,1867-00-00-00,1872-10-02-00,temps_different
381,2 || 36 || 106 || qui || convenir || à passepartout,2,36,106,"Dans toutes, on était fantasque, inégal, coureur d' aventures ou coureur de pays,- ce qui ne pouvait plus convenir à Passepartout.",qui,convenir,à Passepartout,depuis cinq ans,1867-00-00-00,ce mercredi 2 octobre 1872,1872-10-02-00-00,precedent_context,êtes,1867-00-00-00,1872-10-02-00,temps_different
382,2 || 36 || 107 || _ || passé || ses nuits,2,36,107,"Son dernier maître, le jeune Lord Longsferry, membre du Parlement, après avoir passé ses nuits dans les« oysters - rooms» d' Hay - Market, rentrait trop souvent au logis sur les épaules des policemen.",,passé,ses nuits,depuis cinq ans,1867-00-00-00,ce mercredi 2 octobre 1872,1872-10-02-00-00,precedent_context,êtes,1867-00-00-00,1872-10-02-00,temps_different
383,2 || 36 || 107 || _ || passé || dans les oysters-rooms,2,36,107,"Son dernier maître, le jeune Lord Longsferry, membre du Parlement, après avoir passé ses nuits dans les« oysters - rooms» d' Hay - Market, rentrait trop souvent au logis sur les épaules des policemen.",,passé,dans les oysters-rooms,depuis cinq ans,1867-00-00-00,ce mercredi 2 octobre 1872,1872-10-02-00-00,precedent_context,êtes,1867-00-00-00,1872-10-02-00,temps_different
