Phrase,Sujet,Verbe,Objet,Dep_sujet,Dep_verbe,Dep_objet,ID_sujet,ID_verbe,ID_objet,Lemme_verbe,Head_verbe,Annotation_verbe_col8,Annotation_verbe_col9,Num_phrase,Num_paragr,Sentence_index,triplet_order,is_dynamouv,verb_occ_key,chapter,triptyque_id,personnages_sujet,personnages_objet,personnages_triptyque,lieux_sujet,lieux_objet,lieux_triptyque,types_lieux_triptyque,a_personnage_triptyque,a_lieu_triptyque,a_personnage_et_lieu_triptyque
–   Et vous regardez le pays  ?,vous,regardez,le pays,nsubj,conj,obj,4.0,5,7.0,regarder,2,_,_,577,300,577,1719,False,577_5,8,1719,['1'],[],['1'],[],['le pays'],['le pays'],['LOC'],True,True,True
"Figurez -vous, monsieur, que je m’ imaginais ne pas aller plus loin que Paris, et cette fameuse capitale, je l’ ai revue tout juste de sept heures vingt du matin à huit heures quarante, entre la gare du Nord et la gare de Lyon, à travers les vitres d’ un fiacre et par une pluie battante  !",je,revue,entre la gare du Nord et la gare de Lyon,nsubj,xcomp,obl:mod,23.0,26,42.0,revoir,9,_,_,587,307,587,1734,False,587_26,8,1734,['0'],[],['0'],[],"['la gare du nord', 'la gare de lyon']","['la gare du nord', 'la gare de lyon']",['FAC'],True,True,True
J’ aurais aimé à revoir le Père - Lachaise et le Cirque des Champs - Élysées  !,J’,revoir,le Père,nsubj,xcomp,obj,1.0,5,7.0,revoir,3,_,_,589,307,589,1738,False,589_5,8,1738,['0'],[],['0'],[],['le père - lachaise'],['le père - lachaise'],['FAC'],True,True,True
J’ aurais aimé à revoir le Père - Lachaise et le Cirque des Champs - Élysées  !,J’,revoir,- Lachaise,nsubj,xcomp,obl:arg,1.0,5,9.0,revoir,3,_,_,589,307,589,1739,False,589_5,8,1739,['0'],[],['0'],[],['le père - lachaise'],['le père - lachaise'],['FAC'],True,True,True
–   Je vais vous conduire à un bazar où vous trouverez tout ce qu’ il faut.,Je,conduire,à un bazar,nsubj,xcomp,obl:arg,3.0,6,9.0,conduire,4,_,_,594,310,594,1747,False,594_6,8,1747,['148'],[],['148'],[],['un bazar'],['un bazar'],['FAC'],True,True,True
–   Je vais vous conduire à un bazar où vous trouverez tout ce qu’ il faut.,vous,trouverez,où,nsubj,acl:relcl,iobj,11.0,12,10.0,trouver,9,_,_,594,310,594,1748,False,594_12,8,1748,['0'],[],['0'],[],['où'],['où'],['FAC'],True,True,True
Il fait le tour du monde  !,Il,fait,le tour du monde,nsubj,root,obj,1.0,2,4.0,faire,0,_,_,621,328,621,1792,False,621_2,8,1792,['1'],[],['1'],[],['du monde'],['du monde'],['LOC'],True,True,True
Le Français et lui étaient arrivés au bazar.,Le Français et lui,arrivés,au bazar,nsubj,root,obl:arg,2.0,6,8.0,arriver,0,_,_,653,348,653,1865,False,653_6,8,1865,"['2', '305']",[],"['2', '305']",[],['au bazar'],['au bazar'],['FAC'],True,True,True
"Fix laissa son compagnon y faire ses emplettes, il lui recommanda de ne pas manquer le départ du Mongolia, et il revint en toute hâte aux bureaux de l’ agent consulaire.",il,revint,aux bureaux de l’ agent consulaire,nsubj,conj,obl:arg,23.0,24,29.0,revenir,12,_,_,654,348,654,1872,False,654_24,8,1872,['2'],['0'],"['2', '0']",[],['aux bureaux de l’ agent consulaire'],['aux bureaux de l’ agent consulaire'],['FAC'],True,True,True
"Ces paroles prononcées froidement, l’ agent prit congé du consul et se rendit au bureau télégraphique.",l’ agent,rendit,au bureau télégraphique,nsubj,conj,obl:arg,7.0,14,16.0,rendre,8,_,_,670,360,670,1924,False,670_14,8,1924,['0'],[],['0'],[],['au bureau télégraphique'],['au bureau télégraphique'],['FAC'],True,True,True
On le voyait rarement sur le pont.,On,voyait,sur le pont,nsubj,root,obl:mod,1.0,3,7.0,voir,0,_,_,693,368,693,2008,False,693_3,9,2008,['320'],[],['320'],[],['le pont'],['le pont'],['FAC'],True,True,True
"Il s’ inquiétait peu d’ observer cette mer Rouge, si féconde en souvenirs, ce théâtre des premières scènes historiques de l’ humanité.",Il,observer,cette mer Rouge si féconde en souvenirs ce théâtre des premières scènes historiques de l’ humanité,nsubj,xcomp,obj,1.0,6,8.0,observer,3,_,_,694,368,694,2010,False,694_6,9,2010,['1'],[],['1'],[],['cette mer rouge'],['cette mer rouge'],['LOC'],True,True,True
"Il ne rêvait même pas aux dangers de ce golfe Arabique, dont les anciens historiens, Strabon, Arrien, Arthémidore, Edrisi, ont toujours parlé avec épouvante, et sur lequel les navigateurs ne se hasardaient jamais autrefois sans avoir consacré leur voyage par des sacrifices propitiatoires.",Il,rêvait,aux dangers de ce golfe Arabique.,nsubj,root,obl:arg,1.0,3,7.0,rêver,0,_,_,696,368,696,2015,False,696_3,9,2015,['1'],[],['1'],[],['ce golfe arabique'],['ce golfe arabique'],['LOC'],True,True,True
"Le lendemain du départ de Suez, le 10 octobre, ce ne fut pas sans un certain plaisir qu’ il rencontra sur le pont l’ obligeant personnage auquel il s’ était adressé en débarquant en Égypte.",il,rencontra,sur le pont,nsubj,acl:relcl,obl:mod,21.0,22,25.0,rencontrer,19,_,_,707,372,707,2058,False,707_22,9,2058,['1'],[],['1'],[],['le pont'],['le pont'],['FAC'],True,True,True
"–   Et votre maître, je ne le vois jamais sur le pont.",je,vois,sur le pont,nsubj,conj,obl:mod,7.0,10,14.0,voir,2,_,_,735,388,735,2108,False,735_10,9,2108,['10'],[],['10'],[],['le pont'],['le pont'],['FAC'],True,True,True
"Il lui offrait donc souvent, au bar - room du Mongolia, quelques verres de whisky ou de pale - ale, que le brave garçon acceptait sans cérémonie et rendait même pour ne pas être en reste,–   trouvant, d’ ailleurs, ce Fix un gentleman bien honnête.",Il,offrait,room du Mongolia,nsubj,root,obl:mod,1.0,3,10.0,offrir,0,_,_,743,392,743,2131,False,743_3,9,2131,['0'],[],['0'],[],['du mongolia'],['du mongolia'],['FAC'],True,True,True
"Il admira les fortifications qui font de cette ville le Gibraltar de la mer des Indes, et de magnifiques citernes auxquelles travaillaient encore les ingénieurs anglais, deux mille ans après les ingénieurs du roi Salomon.",Il,admira,les fortifications,nsubj,root,obj,1.0,2,4.0,admirer,0,_,_,763,399,763,2206,False,763_2,9,2206,['0'],[],['0'],[],['les fortifications'],['les fortifications'],['FAC'],True,True,True
"Les passagères, en fraîches toilettes, reparurent sur le pont.",Les passagères,reparurent,sur le pont,nsubj,root,obl:arg,2.0,8,11.0,reparaître,0,_,_,772,402,772,2229,False,772_8,9,2229,['327'],[],['327'],[],['le pont'],['le pont'],['FAC'],True,True,True
"Le dimanche 20 octobre, vers midi, on eut connaissance de la côte indienne.",on,eut,de la côte indienne,nsubj,root,obl:arg,9.0,10,14.0,avoir,0,_,_,776,404,776,2240,False,776_10,9,2240,['328'],[],['328'],[],['la côte indienne'],['la côte indienne'],['LOC'],True,True,True
"Elle s’ annexait peu à peu les diverses provinces, achetées aux rajahs au prix de rentes qu’ elle payait peu ou point  ; elle nommait son gouverneur général et tous ses employés civils ou militaires  ; mais maintenant elle n’ existe plus, et les possessions anglaises de l’ Inde relèvent directement de la couronne.",Elle,annexait,les diverses provinces,nsubj,root,obj,1.0,3,9.0,annexer,0,_,_,791,409,791,2278,False,791_3,10,2278,['75'],[],['75'],[],['les diverses provinces'],['les diverses provinces'],['LOC'],True,True,True
"Mr. Fogg prit donc congé de ses partenaires, quitta le paquebot, donna à son domestique le détail de quelques emplettes à faire, lui recommanda expressément de se trouver avant huit heures à la gare, et, de son pas régulier qui battait la seconde comme le pendule d’ une horloge astronomique, il se dirigea vers le bureau des passeports.",il,dirigea,vers le bureau des passeports,nsubj,root,obl:arg,57.0,59,62.0,diriger,0,_,_,799,414,799,2346,False,799_59,10,2346,['1'],[],['1'],[],['le bureau des passeports'],['le bureau des passeports'],['FAC'],True,True,True
"En sortant du bureau des passeports, Phileas Fogg se rendit tranquillement à la gare, et là il se fit servir à dîner.",Phileas Fogg,sortant,du bureau des passeports,nsubj,advcl,obl:arg,8.0,2,4.0,sortir,11,_,_,803,416,803,2352,False,803_2,10,2352,['3'],[],['3'],[],['du bureau des passeports'],['du bureau des passeports'],['FAC'],True,True,True
"En sortant du bureau des passeports, Phileas Fogg se rendit tranquillement à la gare, et là il se fit servir à dîner.",Phileas Fogg,rendit,à la gare,nsubj,root,obl:arg,8.0,11,15.0,rendre,0,_,_,803,416,803,2354,False,803_11,10,2354,['3'],[],['3'],[],['la gare'],['la gare'],['FAC'],True,True,True
"En attendant, et après avoir fait acquisition de quelques chemises et chaussettes, il se promenait dans les rues de Bombay.",il,promenait,dans les rues de Bombay,nsubj,root,obl:mod,15.0,17,20.0,promener,0,_,_,833,431,833,2442,False,833_17,10,2442,['0'],[],['0'],[],['les rues de bombay'],['les rues de bombay'],['FAC'],True,True,True
"En effet, après avoir entrevu ce carnaval parsi, Passepartout se dirigeait vers la gare, quand, passant devant l’ admirable pagode de Malebar - Hill, il eut la malencontreuse idée d’ en visiter l’ intérieur.",Passepartout,dirigeait,vers la gare,nsubj,root,obl:arg,11.0,13,16.0,diriger,0,_,_,839,434,839,2472,False,839_13,10,2472,['0'],[],['0'],[],['la gare'],['la gare'],['FAC'],True,True,True
"D’ un coup de poing et d’ un coup de pied, il renversa deux de ses adversaires, fort empêtrés dans leurs longues robes, et, s’ élançant hors de la pagode de toute la vitesse de ses jambes, il eut bientôt distancé le troisième Indou, qui s’ était jeté sur ses traces, en ameutant la foule.",deux de ses adversaires,élançant,hors de la pagode,nsubj,advcl,obl:arg,15.0,30,34.0,élancer,46,_,_,845,437,845,2507,False,845_30,10,2507,"['0', '49']",[],"['0', '49']",[],['la pagode'],['la pagode'],['FAC'],True,True,True
"À huit heures moins cinq, quelques minutes seulement avant le départ du train, sans chapeau, pieds nus, ayant perdu dans la bagarre le paquet contenant ses emplettes, Passepartout arrivait à la gare du chemin de fer.",Passepartout,arrivait,à la gare du chemin de fer,nsubj,root,obl:arg,33.0,34,37.0,arriver,0,_,_,846,438,846,2518,False,846_34,10,2518,['0'],[],['0'],[],"['la gare du chemin de fer', 'du chemin de fer']","['la gare du chemin de fer', 'du chemin de fer']",['FAC'],True,True,True
"Fix était là, sur le quai d’ embarquement.",Fix,était,sur le quai d’ embarquement,nsubj,root,obl:mod,1.0,2,7.0,être,0,_,_,847,439,847,2520,False,847_2,10,2520,['2'],[],['2'],[],['le quai d’ embarquement'],['le quai d’ embarquement'],['FAC'],True,True,True
"Ayant suivi le sieur Fogg à la gare, il avait compris que ce coquin allait quitter Bombay.",il,suivi,à la gare,nsubj,advcl,obl:mod,10.0,2,8.0,suivre,12,_,_,848,439,848,2522,False,848_2,10,2522,['2'],[],['2'],[],['la gare'],['la gare'],['FAC'],True,True,True
"À la station de Callyan, il laissa sur la droite l’ embranchement qui, par Kandallah et Pounah, descend vers le sud-est de l’ Inde, et il gagna la station de Pauwell.",il,gagna,la station de Pauwell,nsubj,conj,obj,30.0,31,33.0,gagner,8,_,_,877,451,877,2621,False,877_31,11,2621,['7'],[],['7'],[],['la station de pauwell'],['la station de pauwell'],['FAC'],True,True,True
"Pendant cette matinée, au-delà de la station de Malligaum, les voyageurs traversèrent ce territoire funeste, qui fut si souvent ensanglanté par les sectateurs de la déesse Kâli.",les voyageurs,traversèrent,ce territoire funeste,nsubj,root,obj,13.0,14,16.0,traverser,0,_,_,901,463,901,2711,False,901_14,11,2711,['110'],[],['110'],[],['ce territoire funeste'],['ce territoire funeste'],['LOC'],True,True,True
"À midi et demi, le train s’ arrêta à la station de Burhampour, et Passepartout put s’ y procurer à prix d’ or une paire de babouches, agrémentées de perles fausses, qu’ il chaussa avec un sentiment d’ évidente vanité.",Passepartout,procurer,y,nsubj,xcomp,iobj,17.0,21,20.0,procurer,18,_,_,906,464,906,2734,False,906_21,11,2734,['0'],[],['0'],[],['y'],['y'],['FAC'],True,True,True
"Les voyageurs déjeunèrent rapidement, et repartirent pour la station d’ Assurghur, après avoir un instant côtoyé la rive du Tapty, petit fleuve qui va se jeter dans le golfe de Cambaye, près de Surate.",Les voyageurs,repartirent,pour la station d’ Assurghur,nsubj,conj,obl:arg,2.0,7,10.0,repartir,3,_,_,907,465,907,2741,False,907_7,11,2741,['110'],[],['110'],[],['la station d’ assurghur'],['la station d’ assurghur'],['FAC'],True,True,True
"Vers le soir, on s’ engagea dans les défilés des montagnes de Sutpour, qui séparent le territoire du Khandeish de celui du Bundelkund.",on,engagea,dans les défilés des montagnes de Sutpour.,nsubj,root,obl:arg,5.0,7,10.0,engager,0,_,_,918,467,918,2791,False,918_7,11,2791,['356'],[],['356'],[],['des montagnes de sutpour'],['des montagnes de sutpour'],['LOC'],True,True,True
"Phileas Fogg regarda Sir Francis Cromarty, qui parut ne rien comprendre à cette halte au milieu d’ une forêt de tamarins et de khajours.",qui,comprendre,à cette halte au milieu d’ une forêt de tamarins et de khajours,nsubj,xcomp,obl:arg,8.0,12,15.0,comprendre,9,_,_,929,472,929,2843,False,929_12,11,2843,['3'],[],['3'],[],['une forêt de tamarins et de khajours'],['une forêt de tamarins et de khajours'],['LOC'],True,True,True
"–   Au hameau de Kholby, répondit le conducteur.",le conducteur,répondit,Au hameau de Kholby,nsubj,root,obl:mod,10.0,8,4.0,répondre,0,_,_,938,479,938,2861,False,938_8,11,2861,['7'],[],['7'],[],['au hameau de kholby'],['au hameau de kholby'],['FAC'],True,True,True
"Dans la hutte, il y avait un Indien, et dans l’ enclos, un éléphant.",,avait,un Indien et dans l’ enclos un éléphant,,root,obj,,7,9.0,avoir,0,_,_,973,502,973,2951,False,973_7,11,2951,[],['30'],['30'],[],['l’ enclos'],['l’ enclos'],['FAC'],True,True,True
"Sur leur demande, l’ Indien introduisit Mr. Fogg et ses deux compagnons dans l’ enclos.",l’ Indien,introduisit,dans l’ enclos,nsubj,root,obl:mod,6.0,7,16.0,introduire,0,_,_,974,502,974,2954,False,974_7,11,2954,['30'],[],['30'],[],['l’ enclos'],['l’ enclos'],['FAC'],True,True,True
Puis Mr. Fogg offrit à Sir Francis Cromarty de le transporter à la station d’ Allahabad.,Mr. Fogg,transporter,à la station d’ Allahabad,nsubj,xcomp,obl:arg,2.0,11,14.0,transporter,4,_,_,1013,516,1013,3079,False,1013_11,11,3079,['1'],[],['1'],[],['la station d’ allahabad'],['la station d’ allahabad'],['FAC'],True,True,True
"Toute cette partie du haut Bundelkund, peu fréquentée des voyageurs, est habitée par une population fanatique, endurcie dans les pratiques les plus terribles de la religion indoue.",Toute cette partie du haut Bundelkund,habitée,par une population fanatique,nsubj:pass,root,obl:agent,3.0,14,17.0,habiter,0,_,_,1038,524,1038,3169,False,1038_14,12,3169,[],['360'],['360'],['du haut bundelkund'],[],['du haut bundelkund'],['LOC'],True,True,True
"À huit heures du soir, la principale chaîne des Vindhias avait été franchie, et les voyageurs firent halte au pied du versant septentrional, dans un bungalow en ruine.",les voyageurs,firent,au pied du versant septentrional,nsubj,conj,obl:arg,18.0,19,22.0,faire,14,_,_,1052,527,1052,3214,False,1052_19,12,3214,['13'],[],['13'],[],['du versant septentrional'],['du versant septentrional'],['LOC'],True,True,True
"À huit heures du soir, la principale chaîne des Vindhias avait été franchie, et les voyageurs firent halte au pied du versant septentrional, dans un bungalow en ruine.",les voyageurs,firent,dans un bungalow en ruine,nsubj,conj,obl:mod,18.0,19,29.0,faire,14,_,_,1052,527,1052,3215,False,1052_19,12,3215,['13'],[],['13'],[],['un bungalow en ruine'],['un bungalow en ruine'],['FAC'],True,True,True
"À l’ intérieur du bungalow, le Parsi alluma un feu de branches sèches, dont la chaleur fut très appréciée.",le Parsi,alluma,À l’ intérieur du bungalow,nsubj,root,obl:mod,8.0,9,3.0,allumer,0,_,_,1055,529,1055,3220,False,1055_9,12,3220,['17'],[],['17'],[],['du bungalow'],['du bungalow'],['FAC'],True,True,True
Mais les carnassiers s’ en tinrent à des cris et ne firent aucune démonstration hostile contre les hôtes du bungalow.,les carnassiers,firent,contre les hôtes du bungalow,nsubj,conj,obl:mod,3.0,12,18.0,faire,6,_,_,1062,530,1062,3243,False,1062_12,12,3243,[],['13'],['13'],[],['du bungalow'],['du bungalow'],['FAC'],True,True,True
"Passepartout, dans un sommeil agité, recommença en rêve la culbute de la veille, quant à Mr. Fogg, il reposa aussi paisiblement que s’ il eût été dans sa tranquille maison de Saville - row.",il,été,dans sa tranquille maison de Saville - row,nsubj,ccomp,obl:arg,28.0,30,34.0,être,23,_,_,1064,530,1064,3251,False,1064_30,12,3251,['1'],['1'],['1'],[],['sa tranquille maison de saville - row'],['sa tranquille maison de saville - row'],['FAC'],True,True,True
"Vers midi, le guide tourna la bourgade de Kallenger, située sur le Cani, un des sous-affluents du Gange.",le guide,tourna,la bourgade de Kallenger,nsubj,root,obj,5.0,6,8.0,tourner,0,_,_,1070,532,1070,3264,False,1070_6,12,3264,['0'],[],['0'],[],['la bourgade de kallenger'],['la bourgade de kallenger'],['LOC'],True,True,True
"Il évitait toujours les lieux habités, se sentant plus en sûreté dans ces campagnes désertes, qui marquent les premières dépressions du bassin du grand fleuve.",Il,évitait,les lieux,nsubj,root,obj,1.0,2,5.0,éviter,0,_,_,1071,532,1071,3266,False,1071_2,12,3266,['0'],[],['0'],[],['les lieux habités'],['les lieux habités'],['LOC'],True,True,True
"À deux heures, le guide entra sous le couvert d’ une épaisse forêt, qu’ il devait traverser sur un espace de plusieurs milles.",le guide,entra,sous le couvert d’ une épaisse forêt,nsubj,root,obl:arg,6.0,7,10.0,entrer,0,_,_,1074,533,1074,3276,False,1074_7,12,3276,['0'],[],['0'],[],['une épaisse forêt'],['une épaisse forêt'],['LOC'],True,True,True
Il préférait voyager ainsi à l’ abri des bois.,Il,voyager,à l’ abri des bois,nsubj,xcomp,obl:mod,1.0,3,7.0,voyager,2,Dpt au sens large,VERB,1075,533,1075,3280,True,1075_3,12,3280,['0'],[],['0'],[],['des bois'],['des bois'],['LOC'],True,True,True
"Le Parsi sauta à terre, attacha l’ éléphant à un arbre et s’ enfonça au plus épais du taillis.",Le Parsi,enfonça,du taillis,nsubj,conj,obl:arg,2.0,15,20.0,enfoncer,3,_,_,1084,539,1084,3308,False,1084_15,12,3308,['17'],[],['17'],[],['du taillis'],['du taillis'],['LOC'],True,True,True
"–   Dans la plus grande partie de l’ Inde, répondit Sir Francis Cromarty, ces sacrifices ne s’ accomplissent plus, mais nous n’ avons aucune influence sur ces contrées sauvages, et principalement sur ce territoire du Bundelkund.",nous,avons,sur ces contrées sauvages et principalement sur ce territoire du Bundelkund,nsubj,conj,obl:arg,25.0,27,32.0,avoir,21,_,_,1128,565,1128,3443,False,1128_27,12,3443,['369'],[],['369'],[],['ces contrées sauvages'],['ces contrées sauvages'],['LOC'],True,True,True
"Il fut décidé que le guide dirigerait l’ éléphant vers la pagode de Pillaji, dont il se rapprocherait autant que possible.",le guide,dirigerait,vers la pagode de Pillaji,nsubj,ccomp,obl:arg,6.0,7,12.0,diriger,3,_,_,1183,595,1183,3586,False,1183_7,13,3586,['0'],[],['0'],[],['la pagode de pillaji'],['la pagode de pillaji'],['FAC'],True,True,True
"Le guide connaissait cette pagode de Pillaji, dans laquelle il affirmait que la jeune femme était emprisonnée.",Le guide,connaissait,cette pagode de Pillaji,nsubj,root,obj,2.0,3,5.0,connaître,0,_,_,1186,597,1186,3597,False,1186_3,13,3597,['0'],[],['0'],[],['cette pagode de pillaji'],['cette pagode de pillaji'],['FAC'],True,True,True
"Le guide connaissait cette pagode de Pillaji, dans laquelle il affirmait que la jeune femme était emprisonnée.",il,affirmait,dans laquelle,nsubj,acl:relcl,obl:mod,11.0,12,10.0,affirmer,5,_,_,1186,597,1186,3598,False,1186_12,13,3598,['0'],[],['0'],[],['laquelle'],['laquelle'],['FAC'],True,True,True
"Le Parsi, guidant Mr. Fogg, Sir Francis Cromarty et Passepartout, s’ avança sans bruit à travers la forêt.",Le Parsi,avança,à travers la forêt,nsubj,root,obl:mod,2.0,15,21.0,avancer,0,_,_,1195,599,1195,3632,False,1195_15,13,3632,['17'],[],['17'],[],['la forêt'],['la forêt'],['LOC'],True,True,True
"Après dix minutes de reptation sous les ramures, ils arrivèrent au bord d’ une petite rivière, et là, à la lueur de torches de fer à la pointe desquelles brûlaient des résines, ils aperçurent un monceau de bois empilé.",ils,arrivèrent,au bord d’ une petite rivière,nsubj,root,obl:arg,10.0,11,13.0,arriver,0,_,_,1196,599,1196,3634,False,1196_11,13,3634,['13'],[],['13'],[],"['au bord d’ une petite rivière', 'une petite rivière']","['au bord d’ une petite rivière', 'une petite rivière']",['LOC'],True,True,True
Bientôt le guide s’ arrêta à l’ extrémité d’ une clairière.,le guide,arrêta,à l’ extrémité d’ une clairière,nsubj,root,obl:arg,3.0,5,8.0,arrêter,0,_,_,1203,603,1203,3659,False,1203_5,13,3659,['0'],[],['0'],[],['une clairière'],['une clairière'],['LOC'],True,True,True
Restait la question de savoir si les prêtres veillaient auprès de leur victime avec autant de soin que les soldats à la porte du temple.,les prêtres,veillaient,à la porte du temple,nsubj,ccomp,obl:mod,8.0,9,23.0,veiller,5,_,_,1228,612,1228,3717,False,1228_9,13,3717,['19'],[],['19'],[],['du temple'],['du temple'],['FAC'],True,True,True
"Ils se blottirent de nouveau sous le couvert du bois, attendant que l’ alerte, si c’ en était une, se fût dissipée, et prêts, dans ce cas, à reprendre leur opération.",Ils,blottirent,sous le couvert du bois,nsubj,root,obl:arg,1.0,3,8.0,blottir,0,_,_,1248,619,1248,3769,False,1248_3,13,3769,['19'],[],['19'],[],['du bois'],['du bois'],['LOC'],True,True,True
"Mais– contretemps funeste– des gardes se montrèrent au chevet de la pagode, et s’ y installèrent de manière à empêcher toute approche.",des gardes,montrèrent,au chevet de la pagode,nsubj,conj,obl:arg,7.0,9,11.0,montrer,0,_,_,1249,620,1249,3776,False,1249_9,13,3776,['19'],[],['19'],[],['la pagode'],['la pagode'],['FAC'],True,True,True
"Mais– contretemps funeste– des gardes se montrèrent au chevet de la pagode, et s’ y installèrent de manière à empêcher toute approche.",des gardes,installèrent,y,nsubj,conj,iobj,7.0,19,18.0,installer,9,_,_,1249,620,1249,3778,False,1249_19,13,3778,['19'],[],['19'],[],['y'],['y'],['FAC'],True,True,True
"Toutefois, le guide ne laissa pas ses compagnons à l’ endroit où ils s’ étaient réfugiés, et il les ramena vers la partie antérieure de la clairière.",il,ramena,vers la partie antérieure de la clairière,nsubj,conj,obl:arg,20.0,22,25.0,ramener,6,_,_,1267,629,1267,3828,False,1267_22,13,3828,['0'],[],['0'],[],['la clairière'],['la clairière'],['LOC'],True,True,True
"Deux minutes après, ils arrivaient sur le bord de la rivière et s’ arrêtaient à moins de cinquante pas du bûcher, sur lequel était couché le corps du rajah.",ils,arrivaient,sur le bord de la rivière,nsubj,root,obl:arg,5.0,6,9.0,arriver,0,_,_,1290,638,1290,3893,False,1290_6,13,3893,['13'],[],['13'],[],"['le bord de la rivière', 'la rivière']","['le bord de la rivière', 'la rivière']",['LOC'],True,True,True
"Un instant après, tous quatre disparaissaient dans le bois, et l’ éléphant les emportait d’ un trot rapide.",tous quatre,disparaissaient,dans le bois,nsubj,root,obl:mod,6.0,7,10.0,disparaître,0,_,_,1309,648,1309,3950,False,1309_7,13,3950,['78'],[],['78'],[],['le bois'],['le bois'],['LOC'],True,True,True
Aussitôt ils s’ étaient précipités dans la forêt.,ils,précipités,dans la forêt,nsubj,root,obl:arg,2.0,5,8.0,précipiter,0,_,_,1313,650,1313,3966,False,1313_5,13,3966,['79'],[],['79'],[],['la forêt'],['la forêt'],['LOC'],True,True,True
"Ces énergumènes se tenaient dans toute la péninsule, et certainement, malgré la police anglaise, ils sauraient reprendre leur victime, fût -ce à Madras, à Bombay, à Calcutta.",Ces énergumènes,tenaient,dans toute la péninsule,nsubj,root,obl:mod,2.0,4,8.0,tenir,0,_,_,1331,655,1331,4018,False,1331_4,14,4018,['19'],[],['19'],[],['toute la péninsule'],['toute la péninsule'],['LOC'],True,True,True
"Vers dix heures, le guide annonçait la station d’ Allahabad.",le guide,annonçait,la station d’ Allahabad,nsubj,root,obj,6.0,7,9.0,annoncer,0,_,_,1335,657,1335,4031,False,1335_7,14,4031,['0'],[],['0'],[],['la station d’ allahabad'],['la station d’ allahabad'],['FAC'],True,True,True
La jeune femme fut déposée dans une chambre de la gare.,La jeune femme,déposée,dans une chambre de la gare,nsubj:pass,root,obl:arg,3.0,5,8.0,déposer,0,_,_,1338,659,1338,4046,False,1338_5,14,4046,['5'],[],['5'],[],"['une chambre de la gare', 'la gare']","['une chambre de la gare', 'la gare']",['FAC'],True,True,True
Passepartout partit aussitôt et courut les rues de la ville.,Passepartout,courut,les rues de la ville,nsubj,conj,obj,1.0,5,7.0,courir,2,_,_,1341,660,1341,4055,False,1341_5,14,4055,['0'],[],['0'],[],['les rues de la ville'],['les rues de la ville'],['FAC'],True,True,True
"Passepartout, qui cherchait vainement un magasin de nouveautés, comme s’ il eût été dans Regent - street à quelques pas de Farmer et Co.",qui,cherchait,un magasin de nouveautés,nsubj,acl:relcl,obj,3.0,4,7.0,chercher,1,_,_,1346,661,1346,4070,False,1346_4,14,4070,['0'],[],['0'],[],['un magasin de nouveautés'],['un magasin de nouveautés'],['FAC'],True,True,True
"Passepartout, qui cherchait vainement un magasin de nouveautés, comme s’ il eût été dans Regent - street à quelques pas de Farmer et Co.",il,été,dans Regent,nsubj,advcl,obl:arg,13.0,15,17.0,être,4,_,_,1346,661,1346,4071,False,1346_15,14,4071,['0'],[],['0'],[],['regent - street'],['regent - street'],['FAC'],True,True,True
"Puis, tout triomphant, il retourna à la gare.",il,retourna,à la gare,nsubj,root,obl:arg,6.0,7,10.0,retourner,0,_,_,1348,661,1348,4079,False,1348_7,14,4079,['0'],[],['0'],[],['la gare'],['la gare'],['FAC'],True,True,True
"Ses sourcils d’ ébène ont la forme et la puissance de l’ arc de Kama, dieu d’ amour, et sous ses longs cils soyeux, dans la pupille noire de ses grands yeux limpides, nagent comme dans les lacs sacrés de l’ Himalaya les reflets les plus purs de la lumière céleste.",Ses sourcils d’ ébène,nagent,comme dans les lacs sacrés de l’ Himalaya,nsubj,conj,obl:mod,2.0,38,42.0,nager,5,_,_,1354,664,1354,4094,False,1354_38,14,4094,['5'],[],['5'],[],['l’ himalaya'],['l’ himalaya'],['LOC'],True,True,True
"Puis, sa pensée la reportant aux scènes du sutty, ses regards revoyant cette terre indienne où tant de dangers l’ attendaient encore, elle fut prise d’ un frisson de terreur.",ses regards,revoyant,cette terre indienne,nsubj,advcl,obj,13.0,14,16.0,revoir,6,_,_,1395,683,1395,4203,False,1395_14,14,4203,['5'],[],['5'],[],['cette terre indienne'],['cette terre indienne'],['LOC'],True,True,True
"Puis, sa pensée la reportant aux scènes du sutty, ses regards revoyant cette terre indienne où tant de dangers l’ attendaient encore, elle fut prise d’ un frisson de terreur.",cette terre indienne,attendaient,l’,obj,acl:relcl,obj,16.0,23,22.0,attendre,16,_,_,1395,683,1395,4206,False,1395_23,14,4206,[],['4'],['4'],['cette terre indienne'],[],['cette terre indienne'],['LOC'],True,True,True
"Mais, à cette époque plus réaliste, Bénarès, Athènes de l’ Inde au dire des orientalistes, reposait tout prosaïquement sur le sol, et Passepartout put un instant entrevoir ses maisons de briques, ses huttes en clayonnage, qui lui donnaient un aspect absolument désolé, sans aucune couleur locale.",Passepartout,entrevoir,ses maisons de briques ses huttes en clayonnage,nsubj,xcomp,obj,28.0,32,34.0,entrevoir,29,_,_,1403,686,1403,4238,False,1403_32,14,4238,['0'],['0'],['0'],[],['ses'],['ses'],['FAC'],True,True,True
